Nome Completo;Comentários;Grupo
Hardware > Notebook > Apresenta Lentidão;SLA - 4hrs;Central de Serviços
Hardware > Notebook > Apresenta Tela Azul;SLA - 4hrs;Central de Serviços
Hardware > Notebook > Perfil da Máquina / Temporário;SLA - 4hrs;Central de Serviços
Hardware > Notebook > Criar Usuário / Perfil da Máquina;SLA - 4hrs;Central de Serviços
Hardware > Notebook >  Sem áudio;SLA - 4hrs;Central de Serviços
Email;SLA - 4hrs;Central de Serviços
Email >  Bloquear/Excluir;SLA - 4hrs;Central de Serviços
Email >  Criar Conta;SLA - 4hrs;Central de Serviços
Email >  Trocar Senha;SLA - 4hrs;Central de Serviços
Internet;SLA - 4hrs;Central de Serviços
Internet > Acesso;SLA - 4hrs;Central de Serviços
Internet > Acesso > Lentidão;SLA - 4hrs;Central de Serviços
Internet > Acesso > Liberar Pagina;SLA - 4hrs;Central de Serviços
Internet > Acesso > Sem acesso;SLA - 4hrs;Central de Serviços
No-Break;SLA - 4hrs;Central de Serviços
No-Break > Fazendo Barulho;SLA - 4hrs;Central de Serviços
No-Break > Manutenção;SLA - 4hrs;Central de Serviços
No-Break > Não Liga;SLA - 4hrs;Central de Serviços
Rede;SLA - 4hrs;Central de Serviços
Rede > Acesso;SLA - 4hrs;Central de Serviços
Rede > Acesso > Bloquear;SLA - 4hrs;Central de Serviços
Rede > Acesso > Compartilhamento de pasta;SLA - 4hrs;Central de Serviços
Rede > Acesso > Nao acessa a Rede;SLA - 4hrs;Central de Serviços
Rede > Acesso > Resetar Senha;SLA - 4hrs;Central de Serviços
Rede > Backup/Restore;SLA - 4hrs;Central de Serviços
Rede > Backup/Restore > Restaurar Backup;SLA - 4hrs;Central de Serviços
Rede > Conectividade;SLA - 4hrs;Central de Serviços
Rede > Conectividade > Acessar a Rede WI-FI;SLA - 4hrs;Central de Serviços
Rede > Conectividade > Excluir Ponto de Rede;SLA - 4hrs;Central de Serviços
Rede > Conectividade > Instalação de Novo Switch;SLA - 4hrs;Central de Serviços
Rede > Conectividade > Instalação de Ponto de Rede;SLA - 4hrs;Central de Serviços
Rede > Conectividade > Instalar Rede WI-FI;SLA - 4hrs;Central de Serviços
Rede > Conectividade > Modificar Ponto de Rede;SLA - 4hrs;Central de Serviços
Rede > Conectividade > Queda de Link;SLA - 4hrs;Central de Serviços
Rede > Internet;SLA - 4hrs;Central de Serviços
Rede > Internet > Liberar Sites;SLA - 4hrs;Central de Serviços
Rede >  Intranet;SLA - 4hrs;Central de Serviços
Rede > Intranet > Publicação;SLA - 4hrs;Central de Serviços
Servidores;SLA - 4hrs;Central de Serviços
Servidores > Apresenta Lentidão;SLA - 4hrs;Central de Serviços
Servidores > Apresenta Tela Azul;SLA - 4hrs;Central de Serviços
Servidores > Atualização de Firmware;SLA - 4hrs;Central de Serviços
Servidores > Atualização do Sistema Operacional;SLA - 4hrs;Central de Serviços
Servidores > Conectividade;SLA - 4hrs;Central de Serviços
Servidores > Fazendo Barulho;SLA - 4hrs;Central de Serviços
Servidores > Formatar;SLA - 4hrs;Central de Serviços
Servidores > Instalação de Sistema Operacional;SLA - 4hrs;Central de Serviços
Servidores > Instalação de Software;SLA - 4hrs;Central de Serviços
Servidores > Manutenção do Sistema Operacional;SLA - 4hrs;Central de Serviços
Servidores > Não Liga;SLA - 4hrs;Central de Serviços
Servidores > Trava;SLA - 4hrs;Central de Serviços
Telefonia;SLA - 4hrs;Central de Serviços
Telefonia > Discador;SLA - 4hrs;Central de Serviços
Telefonia > VOIP;SLA - 4hrs;Central de Serviços
Telefonia > VOIP>  Alterar Ramal;SLA - 4hrs;Central de Serviços
Telefonia > VOIP >  Criar Conta;SLA - 4hrs;Central de Serviços
Telefonia > VOIP >  Telefone com Ruido;SLA - 4hrs;Central de Serviços
Telefonia > VOIP >  Telefone Mudo;SLA - 4hrs;Central de Serviços
;SLA - 4hrs;Central de Serviços
;SLA - 4hrs;Central de Serviços
;SLA - 4hrs;Central de Serviços
